ndcg%5,ndcg%10,ndcg%15,ndcg%20,ndcg%25,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20,r_precision,av_precision,reciprocal_rank,ndcg,ndcg@20,ndcg@50,facet,split,paper_id,title
0.38009376671593426,0.5869452602983186,0.5397710115258013,0.45920747165405357,0.40441624812658583,0.6,0.14285714285714285,0.23076923076923073,0.5,0.23809523809523808,0.3225806451612903,0.4,0.38095238095238093,0.3902439024390244,0.35,0.4750182359168144,1.0,0.7389984117884726,0.43516449326056117,0.6749974987757356,unfaceted,test,22569528,"ERK1/2 MAP kinases: structure, function, and regulation."
0.7601875334318685,0.5065267082131061,0.41703747573686584,0.41703747573686584,0.4733871946219453,0.4,0.25,0.3076923076923077,0.2,0.25,0.22222222222222224,0.2,0.5,0.28571428571428575,0.14285714285714285,0.40133222274179725,1.0,0.7130348081569006,0.5466365840272227,0.6771288336354478,unfaceted,test,23613754,"ERK2 suppresses self-renewal capacity of embryonic stem cells, but is not required for multi-lineage commitment."
0.30995311664203284,0.2610646646672073,0.22268062001510816,0.28838487013771064,0.29160567630270573,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.14285714285714285,0.07407407407407408,0.11864406779661017,0.1025595993388035,0.08333333333333333,0.6233228923146639,0.321409953692943,0.5221765648889295,unfaceted,test,29409062,Novel overlapping subgraph clustering for the detection of antigen epitopes.
0.6199062332840657,0.7467366458934469,0.7981210934794339,0.8282525362346868,0.8288813767088842,0.6,0.06818181818181818,0.1224489795918367,0.8,0.18181818181818182,0.2962962962962963,0.85,0.38636363636363635,0.53125,0.7333333333333333,0.7575514463457274,0.3333333333333333,0.9300518337297191,0.8551922486954584,0.8735190079213648,unfaceted,dev,29360039,Crk proteins transduce FGF signaling to promote lens fiber cell elongation.
0.6199062332840657,0.697748826140569,0.6576276873052382,0.658054833437858,0.6784172318452858,0.6,0.0967741935483871,0.16666666666666666,0.3,0.0967741935483871,0.14634146341463414,0.4,0.25806451612903225,0.3137254901960784,0.5254237288135594,0.4302663221493207,0.3333333333333333,0.8749471215138196,0.6819893828747945,0.7820144975898526,unfaceted,test,27461729,Systematic identification of protein combinations mediating chromatin looping.
0.19004688335796713,0.250545018281364,0.2584201637827889,0.2981139993520933,0.32867376641087886,0.0,0.0,0.0,0.1,0.25,0.14285714285714288,0.05,0.25,0.08333333333333334,0.09302325581395349,0.10132178314848982,0.16666666666666666,0.64307118223222,0.33609453143072215,0.6167399270602627,unfaceted,test,29165708,Separase prevents genomic instability by controlling replication fork speed.
0.8099531166420328,0.720855388624601,0.7120015321211792,0.6803592365528487,0.692685416010031,0.6,0.21428571428571427,0.3157894736842105,0.4,0.2857142857142857,0.3333333333333333,0.25,0.35714285714285715,0.2941176470588235,0.23333333333333334,0.3926296979517923,1.0,0.887589726150747,0.7187414574746089,0.7908003980999919,unfaceted,dev,29353941,A Bayesian model selection approach for identifying differentially expressed transcripts from RNA sequencing data.
0.8800937667159342,0.8711164874495579,0.8317762481687233,0.8329306179913865,0.8528648229407476,0.8,0.08888888888888889,0.15999999999999998,0.6,0.13333333333333333,0.2181818181818182,0.7,0.3111111111111111,0.43076923076923074,0.75,0.7420903351583952,1.0,0.9532549566957695,0.8594882471146987,0.8926282820347364,unfaceted,test,25704641,Expression of TGFβ superfamily components and other markers of oocyte quality in oocytes selected by brilliant cresyl blue staining: relevance to early embryonic development.
0.5,0.5577663634631496,0.5123996967605586,0.48469841048119555,0.485950240459124,0.4,0.11764705882352941,0.1818181818181818,0.3,0.17647058823529413,0.22222222222222224,0.35,0.4117647058823529,0.37837837837837834,0.29310344827586204,0.35205880698009656,0.5,0.7876688743968762,0.5424547518130939,0.7147019514822076,unfaceted,dev,29348350,Draft Genome Sequences of 14 Strains of Pseudomonas Isolated from Prunus sp. Plants.
0.0,0.18116897186964315,0.183914558071781,0.16863530109563468,0.18083253459807255,0.2,0.125,0.15384615384615385,0.1,0.125,0.11111111111111112,0.1,0.25,0.14285714285714288,0.13793103448275862,0.1528495957824057,0.25,0.55373053528865,0.20190781397767274,0.4907674636218537,unfaceted,test,29255034,Artificial antibody created by conformational reconstruction of the complementary-determining region on gold nanoparticles.
