ndcg%5,ndcg%10,ndcg%15,ndcg%20,ndcg%25,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20,r_precision,av_precision,reciprocal_rank,ndcg,ndcg@20,ndcg@50,facet,split,paper_id,title
0.38009376671593426,0.25326335410655304,0.20187890652056598,0.1717474637653134,0.18997003715235278,0.2,0.047619047619047616,0.07692307692307693,0.1,0.047619047619047616,0.06451612903225806,0.2,0.19047619047619047,0.1951219512195122,0.3559322033898305,0.28660370591229034,0.5,0.6123510105269381,0.222771094047991,0.48340249107653627,unfaceted,test,22569528,"ERK1/2 MAP kinases: structure, function, and regulation."
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.125,0.07142857142857144,0.14285714285714285,0.09576687512611883,0.058823529411764705,0.3349794139110041,0.05101422226132039,0.22626069656012449,unfaceted,test,23613754,"ERK2 suppresses self-renewal capacity of embryonic stem cells, but is not required for multi-lineage commitment."
0.8099531166420328,0.6519900750344741,0.7006869064171111,0.6956472457056353,0.6694372385165126,0.4,0.2857142857142857,0.3333333333333333,0.3,0.42857142857142855,0.3529411764705882,0.2,0.5714285714285714,0.29629629629629634,0.15555555555555556,0.41454185910707647,1.0,0.83004780874146,0.6815759982725785,0.7789921400717084,unfaceted,test,29409062,Novel overlapping subgraph clustering for the detection of antigen epitopes.
1.0,1.0,1.0,0.9760461282745964,0.9590406917884953,1.0,0.11363636363636363,0.20408163265306123,1.0,0.22727272727272727,0.37037037037037035,0.85,0.38636363636363635,0.53125,0.7719298245614035,0.8849713647728135,1.0,0.9875095952895855,0.9505304969827718,0.9475442522729148,unfaceted,dev,29360039,Crk proteins transduce FGF signaling to promote lens fiber cell elongation.
0.8800937667159342,0.8165791926331913,0.7541522653852277,0.7908462770069864,0.7561433935407808,0.6,0.0967741935483871,0.16666666666666666,0.5,0.16129032258064516,0.24390243902439024,0.5,0.3225806451612903,0.39215686274509803,0.5166666666666667,0.5437076529105631,1.0,0.9211397530599869,0.7637643177459109,0.852389295637055,unfaceted,test,27461729,Systematic identification of protein combinations mediating chromatin looping.
0.11990623328406573,0.15974963008070148,0.18395156038557778,0.2320039683112648,0.24017805254195274,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.08333333333333334,0.07692307692307693,0.07963568777713514,0.05263157894736842,0.6007566638438168,0.2568366575665761,0.49636513500702106,unfaceted,test,29165708,Separase prevents genomic instability by controlling replication fork speed.
0.6900468833579672,0.7934726301491593,0.7994194836545019,0.8054032634165641,0.8049833792445863,0.6,0.21428571428571427,0.3157894736842105,0.7,0.5,0.5833333333333334,0.5,0.7142857142857143,0.588235294117647,0.2641509433962264,0.5744195760358357,1.0,0.9221589211405448,0.8387859403825387,0.8689871238256159,unfaceted,dev,29353941,A Bayesian model selection approach for identifying differentially expressed transcripts from RNA sequencing data.
0.8800937667159342,0.9201043072024359,0.9003589369147849,0.8912769952992209,0.8848920135804622,0.8,0.08888888888888889,0.15999999999999998,0.8,0.17777777777777778,0.2909090909090909,0.7,0.3111111111111111,0.43076923076923074,0.75,0.7432957334994235,1.0,0.9568662297729793,0.8715250170126183,0.8767910623535878,unfaceted,test,25704641,Expression of TGFβ superfamily components and other markers of oocyte quality in oocytes selected by brilliant cresyl blue staining: relevance to early embryonic development.
0.8099531166420328,0.8243805031938456,0.7249206561454269,0.6425731691835596,0.6244818059206296,0.8,0.23529411764705882,0.3636363636363636,0.4,0.23529411764705882,0.29629629629629634,0.25,0.29411764705882354,0.27027027027027023,0.2833333333333333,0.38693802660820203,1.0,0.8485976586392135,0.6021045176933083,0.7295359018772459,unfaceted,dev,29348350,Draft Genome Sequences of 14 Strains of Pseudomonas Isolated from Prunus sp. Plants.
0.11990623328406573,0.14321153132420242,0.15266314539436124,0.19753574861236198,0.23045952005837084,0.0,0.0,0.0,0.1,0.125,0.11111111111111112,0.05,0.125,0.07142857142857144,0.14814814814814814,0.13251324519706872,0.1,0.5677440967151735,0.22830383804843835,0.4907491305790405,unfaceted,test,29255034,Artificial antibody created by conformational reconstruction of the complementary-determining region on gold nanoparticles.
0.5,0.5545372948163666,0.5771187407240431,0.5895622522957625,0.6579214667168469,0.4,0.16666666666666666,0.23529411764705882,0.3,0.25,0.2727272727272727,0.35,0.5833333333333334,0.4375,0.2,0.38188963813963817,1.0,0.8551000609304142,0.7056464068367007,0.8038216723255927,unfaceted,test,29362237,Processing of Candida albicans Ece1p Is Critical for Candidalysin Maturation and Fungal Virulence.
1.0,1.0,0.9640446412859328,0.9694111595196104,0.9730609259098876,1.0,0.14285714285714285,0.25,0.9,0.2571428571428571,0.39999999999999997,0.8,0.45714285714285713,0.5818181818181818,0.5833333333333334,0.8106169812400149,1.0,0.9778723202185747,0.9313292265046226,0.9487525689320357,unfaceted,dev,29372014,A psychometric assessment of Disturbances in Self-Organization symptom indicators for ICD-11 Complex PTSD using the International Trauma Questionnaire.
1.0,0.9366841614733618,0.9495302733698585,0.9570631340586716,0.9224591512667001,0.8,0.09302325581395349,0.16666666666666666,0.9,0.20930232558139536,0.339622641509434,0.8,0.37209302325581395,0.5079365079365079,0.7166666666666667,0.7786168826481742,1.0,0.964726046082065,0.887686274573176,0.8971704039141244,unfaceted,dev,26787849,SutA is a bacterial transcription factor expressed during slow growth in Pseudomonas aeruginosa.
